"Trigger/Obiekcja","Kategoria","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Martwi mnie cena","Cena","2_250719_154110.txt, Psychologia Zakupowa...txt","Wysoka (kluczowa bariera w PL)","Wysoka","C, S","10"
"Co będzie jak się zepsuje? / Obawy o serwis","Serwis/Niezawodność","2_250719_154110.txt, Psychologia Zakupowa...txt","Wysoka (częsty trigger)","Średnia","S, C","8"
"Jak długo to trwa [ładowanie]?","Infrastruktura/Użyteczność","2_250719_154110.txt, Realne rozpoznawanie intencji...txt","Wysoka (kluczowa obawa)","Wysoka","S, C","9"
"A ten zasięg zimą?","Zasięg","9_250720_090752.txt, Psychologia Zakupowa...txt","Wysoka (kluczowa obawa w PL)","Wysoka","S, C","10"
"Może powinienem poczekać / odkładanie decyzji","Proces decyzyjny","9_250720_090752.txt","Wysoka (częsty trigger)","Średnia","S, C","7"
"Przetestowałem ponad 20 samochodów","Proces decyzyjny","9_250720_090752.txt","Wysoka (sygnał zaangażowania)","Wysoka","C, D","8"
"Boję się o degradację baterii","Niezawodność/Koszt","Psychologia Zakupowa...txt","Wysoka (kluczowa obawa długoterminowa)","Wysoka","S, C","9"
"Nie mam gdzie ładować / mieszkam w bloku","Infrastruktura","Psychologia Zakupowa...txt, Realne rozpoznawanie intencji...txt","Wysoka (fundamentalna bariera)","Wysoka","S","10"
"Niepewność co do wartości odsprzedaży","Koszt/Wartość","Psychologia Zakupowa...txt","Wysoka (kluczowa obawa finansowa)","Wysoka","C, S","8"
"Wizerunek Elona Muska mnie zniechęca","Wizerunek Marki","Psychologia Zakupowa...txt, 4_250720_081722.txt","Wysoka (specyficzny problem PL)","Wysoka","I, S","7"
"Czy to auto jest bezpieczne dla rodziny?","Bezpieczeństwo","Segmentacja klientów Tesla...txt","Wysoka (potrzeba typu S)","Średnia","S","9"
"Jakie są realne oszczędności?","Koszt/Wartość","TCO...txt, Skuteczne i Etyczne Techniki...txt","Wysoka (potrzeba typu C)","Wysoka","C","9"
"Czy są dostępne jakieś dotacje/dopłaty?","Cena","Realne rozpoznawanie intencji...txt","Wysoka (sygnał zakupowy)","Średnia","C, S","8"
"Porównuję z [inna marka/model]","Proces decyzyjny","Realne rozpoznawanie intencji...txt","Wysoka (sygnał zaawansowanego etapu)","Średnia","C, D","7"
"Jakie są korzyści podatkowe dla firmy?","Koszt/Wartość (B2B)","Elektryczne możliwości podatkowe...txt","Wysoka (kluczowy trigger B2B)","Wysoka","D, C","9"
