"Ból/Stresor","Kategoria","Opis","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Lęk o zasięg (Range Anxiety)","Użyteczność","Obawa, że energia w akumulatorze nie wystarczy na pokonanie trasy, potęgowana przez brak wiedzy i mity.","Psychologia Zakupowa...txt","Wysoka (kluczowa bariera psychologiczna)","Wysoka","S, C","10"
"Realny spadek zasięgu zimą","Użyteczność/Niezawodność","Znaczący, odczuwalny spadek zasięgu w niskich temperaturach (nawet o 30-40%), co generuje niepewność i stres.","Psychologia Zakupowa...txt, Realne rozpoznawanie intencji...txt","Wysoka (potwierdzone w testach i przez użytkowników)","Wysoka","S, C","10"
"Wysoka cena zakupu (Szok naklejkowy)","Cena","Psychologiczna bariera związana z wysoką ceną katalogową EV, która znacznie przewyższa oczekiwania i akceptowalną premię cenową konsumentów.","Psychologia Zakupowa...txt","Wysoka (dane z badań rynkowych)","Wysoka","S, C","10"
"Niepewność i zawodność infrastruktury ładowania","Infrastruktura","Stres wynikający nie z liczby, a z nierównego rozmieszczenia, awaryjności i konieczności używania wielu aplikacji do obsługi publicznych ładowarek.","Psychologia Zakupowa...txt","Wysoka (potwierdzone przez użytkowników)","Wysoka","S, C","9"
"Problem z ładowaniem w bloku mieszkalnym","Infrastruktura","Fundamentalna bariera dla mieszkańców budynków wielorodzinnych, związana z trudnościami w uzyskaniu zgody wspólnoty i wysokimi kosztami instalacji wallboxa.","Psychologia Zakupowa...txt, Realne rozpoznawanie intencji...txt","Wysoka (problem systemowy w PL)","Wysoka","S","10"
"Skomplikowane i nieadekwatne dotacje","Cena/Proces","Złożoność programów dotacyjnych (np. NaszEauto) i ich postrzegana nieadekwatność osłabiają ich psychologiczny wpływ; są postrzegane jako uciążliwa konieczność.","Psychologia Zakupowa...txt, 5_250720_082620.txt","Wysoka (analiza programów i opinii)","Wysoka","C, S","8"
"Duża utrata wartości (Deprecjacja)","Koszt/Wartość","Lęk przed szybką utratą wartości EV z powodu postępu technologicznego i agresywnej polityki cenowej producentów.","Psychologia Zakupowa...txt","Wysoka (kluczowa obawa finansowa)","Wysoka","C, S","9"
"Wysoki koszt wymiany baterii po gwarancji","Koszt/Niezawodność","Lęk przed astronomicznym kosztem wymiany baterii po okresie gwarancyjnym, co stanowi największe długoterminowe ryzyko finansowe.","TCO...txt, 8 brak claude_250720_085025.txt","Wysoka (potwierdzone wycenami serwisowymi)","Wysoka","S, C","9"
"Problemy z jakością wykonania i spasowaniem (historycznie w Tesli)","Jakość produktu","Utrwalony wizerunek problemów ze spasowaniem elementów i skrzypiącym wnętrzem, mimo poprawy w nowszych modelach.","Język i Komunikacja w Sprzedaży Tesli...txt","Wysoka (potwierdzone przez użytkowników)","Średnia","C, D","6"
"Niska jakość obsługi serwisowej","Serwis","Frustracja wynikająca z braku komunikacji, niedotrzymywania terminów i niskich standardów obsługi w autoryzowanych serwisach.","Język i Komunikacja w Sprzedaży Tesli...txt","Wysoka (potwierdzone przez użytkowników)","Wysoka","Wszystkie","9"
"Obciążenie poznawcze w trasie (planowanie ładowania)","Użyteczność","Konieczność ciągłego planowania, monitorowania i posiadania planu B na wypadek awarii ładowarki, co generuje stres i zmęczenie.","Psychologia Zakupowa...txt","Wysoka (wniosek z analizy)","Wysoka","S, C","8"
"Utrata sprawczości (zamknięty ekosystem serwisowy)","Serwis","Psychologiczny dyskomfort związany z uzależnieniem od drogich ASO i brakiem możliwości korzystania z niezależnych warsztatów.","Psychologia Zakupowa...txt","Wysoka (wniosek z analizy)","Wysoka","D, C","7"
