"Nazwa Profilu","Typ","Demografia","Psychografia","Kluczowe Motywacje","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Dominant (D)","DISC","Wiek 35-50, dochody >15k PLN, kierownicy, przedsiębiorcy","Konkurencyjni, szybcy decydenci, zorientowani na wyniki, lubiący kontrolę","Prestiż technologiczny, dominacja na drodze, osiągi, efektywność","2_250719_154110.txt, Mistrzostwo perswazji...txt","Wysoka (analiza DISC)","Wysoka","D","10"
"Influence (I)","DISC","Wiek 30-45, influencerzy, marketing/PR, wolne zawody","Ekstrawertyczni, towarzyscy, optymistyczni, ceniący wizerunek i emocje","Status społeczny, przynależność do społeczności, bycie trendsetterem, pozytywne doświadczenia","2_250719_154110.txt, Mistrzostwo perswazji...txt","Wysoka (analiza DISC)","Wysoka","I","9"
"Steadiness (S)","DISC","Wiek 35-55, rodzice, stabilne zawody, specjaliści","Spokojni, cierpliwi, lojalni, zorientowani na rodzinę i bezpieczeństwo, unikający ryzyka","Bezpieczeństwo, niezawodność, oszczędności, komfort, wsparcie posprzedażowe","2_250719_154110.txt, Mistrzostwo perswazji...txt","Wysoka (analiza DISC)","Wysoka","S","10"
"Conscientious (C)","DISC","Wiek 40-60, inżynierowie, analitycy, finansiści, IT","Analityczni, dokładni, logiczni, zorientowani na szczegóły i jakość, potrzebujący danych","ROI, szczegółowa analiza TCO, dane techniczne, porównania, pewność dobrego wyboru","2_250719_154110.txt, Mistrzostwo perswazji...txt","Wysoka (analiza DISC)","Wysoka","C","10"
"Technologiczny Ewangelista","Psychograficzny","Mężczyźni, 27-45 lat, wysokie dochody, branża IT/Tech/Finanse, duże metropolie","Wczesny adopter, gadżeciarz, zafascynowany technologią i oprogramowaniem, motywowany wewnętrznie","Bycie na czele zmiany technologicznej, surowe osiągi, zaawansowane funkcje (Autopilot)","Polski Klient Tesli...txt","Wysoka (synteza z raportu)","Wysoka","D, I","9"
"Pragmatyczny Optymalizator","Psychograficzny","Wiek 35-55, właściciel firmy/B2B, menedżer, dom jednorodzinny z fotowoltaiką","Racjonalny, analityczny, skupiony na TCO, odrobił 'pracę domową'","Zwrot z inwestycji (ROI), korzyści podatkowe, synergia z OZE, niskie koszty operacyjne","Polski Klient Tesli...txt","Wysoka (synteza z raportu)","Wysoka","C, D","10"
"Poszukiwacz Eko-Statusu","Psychograficzny","Wiek 30-50, obie płcie, bardzo wysokie dochody, prestiżowe zawody (lekarz, prawnik)","Ceniący 'cichy luksus', świadomy ekologicznie, poszukujący jakości i designu","Publiczna deklaracja wartości i sukcesu, połączenie luksusu z odpowiedzialnością","Polski Klient Tesli...txt","Wysoka (synteza z raportu)","Wysoka","I, S","8"
"Aspirujący Naśladowca","Psychograficzny","Wiek 25-35, średnie-wysokie dochody, nowoczesne branże, korzysta z finansowania","Pod silnym wpływem mediów społecznościowych, aspirujący, wrażliwy na cenę","Przynależność do 'fajnej' społeczności, symbol sukcesu, dostępność finansowa","Polski Klient Tesli...txt","Wysoka (synteza z raportu)","Wysoka","I","7"
"Przedsiębiorca (B2B)","Demograficzny","Właściciele firm, JDG, menedżerowie flot","Zorientowani na optymalizację kosztów i korzyści wizerunkowe dla firmy","Korzyści podatkowe (amortyzacja, VAT), TCO, wizerunek nowoczesnej firmy","Elektryczne możliwości podatkowe...txt, Segmentacja klientów Tesla...txt","Wysoka (dane rynkowe)","Wysoka","D, C","10"
"Rodzina z dziećmi","Demograficzny","Wiek 35-55, posiadający dzieci, stabilna sytuacja finansowa","Skupieni na bezpieczeństwie, praktyczności i komforcie podróży","Najwyższe oceny bezpieczeństwa (Euro NCAP), przestronność (SUV), łatwość utrzymania czystości","Segmentacja klientów Tesla...txt","Wysoka (wniosek z analizy)","Średnia","S","9"
