Pytanie,Najpopularniejsza_Odpowiedź,Dodatkowe_Dane,Źródło_Danych,Kategoria
Jaki jest Twój przedział wiekowy?,45-54 lata (median: 48 lat),"74% mężczyzn, 26% kobiet w 2025","Hedges Company 2025, Canvas Business Model",Demografia
Jaki jest Twój roczny dochód gospodarstwa domowego?,"$144,341 (spadek z $153,135 w 2018)",Premium segment - wyższe dochody niż średnia krajowa,"Hedges Company 2025, Tesla demografics study",Demografia
Jaki jest Twój najwyższy poziom wykształcenia?,Wyższe wykształcenie (Bachelor's/Master's dominują),Wyższy poziom edukacji koreluje z adoption EV,Multiple EV adoption surveys,Demografia
Jaki jest Twój obecny zawód?,Tech/Business professionals,"Early adopters technologii, często w tech industry",Tesla owner demographics research,Demografia
Ile osób mieszka w Twoim gospodarstwie domowym?,2-3 osoby,Średnio 2.3 osoby na gospodarstwo domowe,US census data correlation,Demografia
Czy jesteś właścicielem domu?,Tak - większość to właściciele domów,Home ownership umożliwia home charging,Tesla charging infrastructure studies,Demografia
W jakiej miejscowości mieszkasz?,Obszary metropolitalne/suburbia,Głównie coastal areas i tech hubs,Geographic distribution studies,Demografia
"Jak prawdopodobne jest, że kupisz Teslę w ciągu następnych 6 miesięcy? (skala 1-10)",6-7 (moderate to high probability),72% klientów Tesla motywuje incentives/tax credits,J.D. Power E-Vision Intelligence Report,Intencje_Zakupowe
Jaka jest Twoja główna motywacja do rozważenia Tesli?,"Środowisko + Technologia (82% environmental, 40% tech)","Environmental commitment (82%), Lower fuel costs (73%), Reduced maintenance (50%)",Tesla Market Australia Survey 2023,Intencje_Zakupowe
Jaki jest Twój budżet na zakup pojazdu?,"$50,000-70,000 (Model 3/Y range)","Model 3: $43,190-59,190, Model Y: $44,990-66,000","Tesla pricing data 2025, Investopedia",Intencje_Zakupowe
Który model Tesli Cię najbardziej interesuje?,"Model Y (47.36% market share), Model 3 (27.30%)","Model X (4.42%), Model S (2.53%) - mniejszy udział",Experian Automotive Consumer Trends Report Q2 2023,Intencje_Zakupowe
Jak ważny jest wpływ na środowisko w Twojej decyzji?,Bardzo ważny - 82% wybiera ze względu na zero emissions,"67% believes BEVs reduce climate change, 68% reduce pollution",Transportation Energy Institute study,Intencje_Zakupowe
Jakie funkcje są dla Ciebie najważniejsze?,"Range (87%), Supercharger network (40%), Performance (50%)",Design and performance also critical (50% respondents),Tesla Market Survey 500 respondents,Intencje_Zakupowe
Skąd po raz pierwszy dowiedziałeś się o Tesli?,"Social media/Elon Musk (primary), Word of mouth",Tesla dominuje brand awareness w EV space (27% association),Canadian BEV consumer study 2017,Intencje_Zakupowe
Jakie inne marki rozważasz?,"BMW (iX, i4), Mercedes (EQS, EQE), Audi (e-tron)","Tesla 81.61% luxury EV market share vs BMW 4.42%, Mercedes 3.27%",Experian luxury EV market share data,Analiza_Konkurencyjna
